中奖号码,随机值,中奖概率,赔率(最大赔率),投注100中奖金额(最大值)
0,{00},0.01,100,10000
1,{01 10},0.02,50,5000
2,{02 11 20},0.03,33,3300
3,{03 12 21 30},0.04,25,2500
4,{04 13 22 31 40},0.05,20,2000
5,{05 14 23 32 41 50},0.06,16,1600
6,{06 15 24 33 42 51 60},0.07,14,1400
7,{07 16 25 34 43 52 61 70},0.08,12,1200
8,{08 17 26 35 44 53 62 71 80},0.09,11,1100
9,{09 18 27 36 45 54 63 72 81 90},0.1,10,1000
10,{19 28 37 46 55 64 73 82 91},0.09,11,1100
11,{29 38 47 56 65 74 83 92},0.08,12,1200
12,{39 48 57 66 75 84 93},0.07,14,1400
13,{49 58 67 76 85 94},0.06,16,1600
14,{59 68 77 86 95},0.05,20,2000
15,{69 78 87 96},0.04,25,2500
16,{79 88 97},0.03,33,3300
17,{89 98},0.02,50,5000
18,{99},0.01,100,10000
备注：赔率为最大赔率，即赔率不要超过这个范围，具体的赔率应选择在最大赔率范围内,,,,
,,,,
,,,,
